"","mDCs","Macrophages","Mast","Monocytes"
"3x16",0.389839553308427,0.0476169632772348,0.492332014468148,0.0702114689461905
"3x17",0.433359989908897,0,0.50685803846787,0.0597819716232325
"3x18",0.367037035162686,0,0.538695591353533,0.0942673734837806
"3x19",0.388849409244416,0.0494422298112206,0.469052083300579,0.0926562776437852
"3x20",0.33343124565053,0.0629787320618216,0.541085942123886,0.0625040801637621
"3x21",0.341290931983704,0.0215543805694829,0.512647401848411,0.124507285598403
"3x22",0.267099136932728,0.107782015701302,0.595382427575722,0.0297364197902486
"3x23",0.33440246114541,0.0528255707485897,0.520843099647356,0.0919288684586444
"3x24",0.418526148835917,0.0566809686386671,0.459161714578067,0.065631167947349
"3x25",0.390141480573744,0.0762071098112592,0.458341328102464,0.0753100815125331
"3x26",0.55637865866204,0.0533737263700131,0.342844450502662,0.0474031644652854
"3x27",0.388463064150276,0.0947754396105589,0.372789479115959,0.143972017123206
"3x28",0.356356797734979,0.106455566607178,0.466140520936986,0.071047114720857
"3x29",0.403407330003957,0.0472723446139145,0.438966695205547,0.110353630176582
