,r,reference,method
13x1,1.0,Internal,stsc
13x2,0.9999999999999999,Internal,stsc
13x3,1.0,Internal,stsc
13x4,1.0,Internal,stsc
13x5,1.0,Internal,stsc
13x6,1.0,Internal,stsc
13x7,1.0,Internal,stsc
13x8,1.0,Internal,stsc
13x9,1.0,Internal,stsc
13x10,1.0,Internal,stsc
13x11,0.9960205714702737,Internal,stsc
13x12,1.0,Internal,stsc
13x13,1.0,Internal,stsc
13x14,1.0,Internal,stsc
13x15,0.9971275126043941,Internal,stsc
13x16,0.9929417938127849,Internal,stsc
13x17,1.0,Internal,stsc
13x18,0.942270179678525,Internal,stsc
13x19,0.9442548998028557,Internal,stsc
13x20,0.9199652225468696,Internal,stsc
13x21,0.9542460383998785,Internal,stsc
13x22,0.8850941274963249,Internal,stsc
13x23,0.9313133321869569,Internal,stsc
13x24,0.8851690995210421,Internal,stsc
13x25,0.9528754202164335,Internal,stsc
13x26,0.9708319477853381,Internal,stsc
13x27,0.9251707726937938,Internal,stsc
13x28,0.8774536068425184,Internal,stsc
13x29,0.7707624674688095,Internal,stsc
13x30,0.8822908216616158,Internal,stsc
13x31,0.8861768848580251,Internal,stsc
13x32,0.8800087827229688,Internal,stsc
13x33,0.7401304494034873,Internal,stsc
13x34,0.9343365499302749,Internal,stsc
13x35,0.8299037377710875,Internal,stsc
13x36,0.7901566629878702,Internal,stsc
13x37,0.9394988042275518,Internal,stsc
13x38,0.9319114493872318,Internal,stsc
13x39,0.6906173323497,Internal,stsc
13x40,0.9665721066840955,Internal,stsc
13x41,0.9138369272283516,Internal,stsc
13x42,0.9539067912711789,Internal,stsc
13x43,0.8632021937854758,Internal,stsc
13x44,0.6751424418497738,Internal,stsc
13x45,0.79561502284549,Internal,stsc
13x46,0.34660822515096323,Internal,stsc
13x47,0.7292867552090586,Internal,stsc
