,r,reference,method
11x26,0.9970629379217832,Internal,stereoscope
11x27,0.9973411167240277,Internal,stereoscope
11x28,0.8067178331649342,Internal,stereoscope
11x29,0.9723813725869577,Internal,stereoscope
11x30,0.9949168787068308,Internal,stereoscope
11x31,0.9215885788800293,Internal,stereoscope
11x32,0.5540872091977516,Internal,stereoscope
11x33,0.9872221742393633,Internal,stereoscope
11x34,0.9987381546186758,Internal,stereoscope
11x35,0.9846725194682961,Internal,stereoscope
11x36,0.9999095191555978,Internal,stereoscope
11x37,0.9981518556119694,Internal,stereoscope
11x38,0.9992692411749066,Internal,stereoscope
11x39,0.9880745106381122,Internal,stereoscope
11x40,0.9632734591765146,Internal,stereoscope
11x41,0.7946314354105657,Internal,stereoscope
11x42,0.9996654336378157,Internal,stereoscope
11x43,0.98612451231852,Internal,stereoscope
11x44,0.9888354841063346,Internal,stereoscope
11x45,0.8848737388635886,Internal,stereoscope
11x46,0.3397676895754324,Internal,stereoscope
11x47,0.9095962478973338,Internal,stereoscope
11x48,,Internal,stereoscope
11x49,0.7174889648498326,Internal,stereoscope
12x0,0.9972015061879879,Internal,stereoscope
12x1,0.9998651312462057,Internal,stereoscope
12x2,0.9999999707609676,Internal,stereoscope
12x3,1.0,Internal,stereoscope
12x4,1.0,Internal,stereoscope
12x5,1.0,Internal,stereoscope
12x6,0.9837825439387584,Internal,stereoscope
12x7,1.0,Internal,stereoscope
12x8,0.9998390685987159,Internal,stereoscope
12x9,1.0,Internal,stereoscope
12x10,0.9999998670053409,Internal,stereoscope
12x11,1.0,Internal,stereoscope
12x12,0.9999984922885322,Internal,stereoscope
12x13,1.0,Internal,stereoscope
12x14,1.0,Internal,stereoscope
12x15,0.9999995398465982,Internal,stereoscope
12x16,0.9999950508508344,Internal,stereoscope
12x17,1.0,Internal,stereoscope
12x18,0.9996760411415236,Internal,stereoscope
12x19,0.998134902882262,Internal,stereoscope
12x20,0.9881613881690909,Internal,stereoscope
12x21,0.9996432790259475,Internal,stereoscope
12x22,0.7171105038028697,Internal,stereoscope
12x23,0.7332663057302995,Internal,stereoscope
