,x,y
32x34,32,34
32x35,32,35
32x36,32,36
32x37,32,37
32x38,32,38
32x39,32,39
32x40,32,40
32x41,32,41
32x42,32,42
32x43,32,43
32x44,32,44
32x45,32,45
32x46,32,46
32x47,32,47
32x48,32,48
32x49,32,49
33x0,33,0
33x1,33,1
33x2,33,2
33x3,33,3
33x4,33,4
33x5,33,5
33x6,33,6
33x7,33,7
33x8,33,8
33x9,33,9
33x10,33,10
33x11,33,11
33x12,33,12
33x13,33,13
33x14,33,14
33x15,33,15
33x16,33,16
33x17,33,17
33x18,33,18
33x19,33,19
33x20,33,20
33x21,33,21
33x22,33,22
33x23,33,23
33x24,33,24
33x25,33,25
33x26,33,26
33x27,33,27
33x28,33,28
33x29,33,29
33x30,33,30
33x31,33,31
33x32,33,32
33x33,33,33
33x34,33,34
33x35,33,35
33x36,33,36
33x37,33,37
33x38,33,38
33x39,33,39
33x40,33,40
33x41,33,41
33x42,33,42
33x43,33,43
33x44,33,44
33x45,33,45
33x46,33,46
33x47,33,47
33x48,33,48
33x49,33,49
34x0,34,0
34x1,34,1
34x2,34,2
34x3,34,3
34x4,34,4
34x5,34,5
34x6,34,6
34x7,34,7
34x8,34,8
34x9,34,9
34x10,34,10
34x11,34,11
34x12,34,12
34x13,34,13
34x14,34,14
34x15,34,15
34x16,34,16
34x17,34,17
34x18,34,18
34x19,34,19
34x20,34,20
34x21,34,21
34x22,34,22
34x23,34,23
34x24,34,24
34x25,34,25
34x26,34,26
34x27,34,27
34x28,34,28
34x29,34,29
34x30,34,30
34x31,34,31
34x32,34,32
34x33,34,33
34x34,34,34
34x35,34,35
34x36,34,36
34x37,34,37
34x38,34,38
34x39,34,39
34x40,34,40
34x41,34,41
34x42,34,42
34x43,34,43
34x44,34,44
34x45,34,45
