"","Ductal","Cancer","Stroma"
"4x40",0.147578279624135,0.275534366922083,0.576887353453782
"4x41",0.263245757950788,0.338793801712795,0.397960440336417
"4x42",0.186801723946125,0.300687280228586,0.512510995825289
"4x43",0.0789587257466429,0.455879578905132,0.465161695348225
"4x44",0.17566855530531,0.245277602399018,0.579053842295672
"4x45",0.288057276042165,0.32139534217211,0.390547381785726
"4x46",0.201764158827624,0.33227711609841,0.465958725073966
"4x47",0.248323913501884,0.328648079055534,0.423028007442581
"4x48",0.238161039749576,0.21180530398389,0.550033656266535
"4x49",0.343511956978938,0.257180169619385,0.399307873401677
"5x0",0.231679819514987,0.598614046974261,0.169706133510752
"5x1",0.031037466801999,0.750901328642266,0.218061204555735
"5x2",0.0485488354416158,0.921640386764535,0.0298107777938493
"5x3",0.0672288949211694,0.89380054762939,0.0389705574494402
"5x4",0.0980619492957588,0.861724491107058,0.0402135595971836
"5x5",0.0467279916484137,0.903228524732094,0.0500434836194927
"5x6",0.00747582361435741,0.912585954356403,0.0799382220292395
"5x7",0.0702118895073189,0.859869898865475,0.0699182116272055
"5x8",0.0659710889256431,0.912445420537919,0.0215834905364379
"5x9",0.0656377271887225,0.928451851041701,0.00591042176957613
"5x10",0.0777111653423805,0.911892334226972,0.0103965004306472
"5x11",0.102590034257656,0.879807339748554,0.0176026259937895
"5x12",0.0869413550871113,0.90988786579259,0.00317077912029843
"5x13",0.112452930800763,0.868391592264608,0.0191554769346292
"5x14",0.0975557562575828,0.849491182487141,0.0529530612552764
"5x15",0.0203047926159357,0.9152614364582,0.0644337709258644
"5x16",0.0245337714388737,0.97159527353399,0.00387095502713602
"5x17",0.102839923287889,0.862000151618041,0.0351599250940701
"5x18",0.249379980279785,0.377561196133377,0.373058823586838
"5x19",0.142804840777927,0.683680912242345,0.173514246979728
"5x20",0.111548231214054,0.701935566224355,0.186516202561591
"5x21",0.155872406640689,0.685803754935329,0.158323838423983
"5x22",0.145822088901856,0.501788432170531,0.352389478927613
"5x23",0.0746059624108885,0.541695119715813,0.383698917873298
"5x24",0.104706497319277,0.422102059242085,0.473191443438639
"5x25",0.146284764612878,0.357852570055131,0.495862665331991
"5x26",0.151488794027705,0.438332657957855,0.410178548014439
"5x27",0.263326737646507,0.457863712147786,0.278809550205708
