,region_ind,region,gene,lfc,pval,padj
13537,1,blue,Xpnpep1,0.47110844,2.7795617773226084e-66,2.9543962131162003e-62
13538,1,blue,Add3,0.6721922,4.2789564456764563e-07,0.0019817583513219443
13539,1,blue,1700001K23Rik,-0.25708938,0.7307142309551411,1.0
13540,1,blue,Mxi1,0.15763204,3.042917754009227e-61,3.080345642383541e-57
13541,1,blue,Smndc1,-0.2399214,1.613597469707359e-99,2.1627046886487732e-95
13542,1,blue,Mirt1,0.41160655,0.00015465875536142582,0.46944974563882014
13543,1,blue,4833407H14Rik,0.6355604,0.1015414809209048,1.0
13544,1,blue,Gm50394,0.078721054,0.13144606321533334,1.0
13545,1,blue,Dusp5,-0.15844688,4.534638964836601e-89,5.794815133164693e-85
13546,1,blue,Nutf2-ps1,-0.5342113,4.493424490191797e-114,6.226538316058773e-110
13547,1,blue,Smc3,-0.36428553,4.9656432273562704e-107,6.797965578250734e-103
13548,1,blue,Rbm20,0.087750286,0.00025776147768834744,0.6472537055717378
13549,1,blue,Pdcd4,0.3496033,4.9688795687302177e-48,4.432240575307354e-44
13550,1,blue,Bbip1,-0.2569302,6.794121049660219e-86,8.51031602680439e-82
13551,1,blue,Shoc2,0.29173657,1.0948029268966637e-63,1.1342158322649436e-59
13552,1,blue,Adra2a,1.5149933,0.15380940778323626,1.0
13553,1,blue,Gpam,0.43437663,6.120530442663509e-16,3.545623285428686e-12
13554,1,blue,Gucy2g,-0.4228235,0.015157035020844981,1.0
13555,1,blue,Acsl5,-0.35433903,2.9097147680378267e-94,3.8190006330496477e-90
13556,1,blue,Zdhhc6,0.19047548,2.4940252210909624e-73,2.826229380540279e-69
13557,1,blue,Vti1a,-0.22965086,6.612920979926408e-45,5.708273389872475e-41
13558,1,blue,Tcf7l2,0.49135783,7.631650200364846e-32,5.652000138390205e-28
13559,1,blue,Habp2,-0.13675348,0.621937757987098,1.0
13560,1,blue,Nrap,0.22075604,4.9874209265605506e-05,0.1902849774262198
13561,1,blue,Casp7,0.4521296,0.00019289508300598176,0.5442165433233499
13562,1,blue,Dclre1a,-0.5893539,8.661616237357133e-14,4.830583374407555e-10
13563,1,blue,Nhlrc2,0.6390461,3.5057666429831125e-36,2.743963551462882e-32
13564,1,blue,Ccdc186,0.44592077,1.3709149801693453e-25,9.363349314556628e-22
13565,1,blue,Tdrd1,-0.13622831,7.831032573906784e-75,8.990025394844989e-71
13566,1,blue,Afap1l2,0.41156825,0.6858358458097806,1.0
13567,1,blue,Ablim1,2.121161,0.2522795755854059,1.0
13568,1,blue,Fam160b1,-0.049161676,1.4714958911134077e-47,1.3069826504869287e-43
13569,1,blue,Trub1,-0.062490758,8.033112137605575e-36,6.252171176698419e-32
13570,1,blue,Atrnl1,0.6891661,1.2610837651635385e-24,8.474482901898979e-21
13571,1,blue,Gfra1,2.229825,0.7205770544965471,1.0
13572,1,blue,Hspa12a,0.93246275,0.8369936010112267,1.0
13573,1,blue,Shtn1,0.9058588,7.777338009262698e-06,0.03362649230876432
13574,1,blue,Pdzd8,0.102467544,6.765114557308257e-57,6.592604136096896e-53
13575,1,blue,Rab11fip2,0.46364212,4.586460736270578e-10,2.343678690352533e-06
13576,1,blue,Fam204a,-0.23861444,2.3053904967946293e-41,1.9201597447802465e-37
13577,1,blue,Cacul1,0.13398238,7.699115614346129e-82,9.373673260466412e-78
13578,1,blue,Nanos1,-0.84608513,4.7799464125029275e-06,0.020999389438978746
13579,1,blue,Eif3a,0.0026867893,1.7719108591530676e-10,9.146599672741655e-07
13580,1,blue,Fam45a,-0.17694867,2.002109450670447e-40,1.647936288846845e-36
13581,1,blue,Sfxn4,-0.65612733,1.1838615923572741e-07,0.000561584611125176
13582,1,blue,Prdx3,-0.69256526,6.36208338675565e-123,8.877651157878835e-119
13583,1,blue,Grk5,0.20315963,1.0429994147689203e-81,1.2688087880663916e-77
