"","Ductal","Cancer","mDCs","pDCs","Macrophages","Mast","T","Monocytes"
"41x6",0.437013342181804,0.270496982223866,0.106594613308802,0.0616737120931375,0.00106736675306018,0.0109455045883158,0.0978455204205524,0.0143629584304614
"41x7",0.237468676379124,0.36203553559339,0.0188858817263622,0.0700054674687679,0.106271357289298,0.032083540527516,0.132331313180545,0.0409182278349975
"41x8",0.246685426435132,0.144682256540507,0.0422858699320307,0.104022265169565,0.104436150486342,0.0382916331570238,0.156486964362671,0.163109433916728
"41x9",0.381962968862302,0.385449421480484,0.0557852999645127,0.00663394109640042,0.0407468753828732,0.0277858858131111,0.0722374383560251,0.0293981690442909
"41x10",0.507011463036048,0.166575922792205,0,0.114938080198743,0,0.0113238355297299,0.11172947076289,0.0884212276803842
"41x11",0.398322862400695,0.348666150715096,0.0441814055000358,0.0330916410523645,0,0.0267167261197907,0.140791147848464,0.00823006636355366
"41x12",0.548844762739243,0.377331511269009,0,0,0,0.0561037179019434,0.00248404654323877,0.0152359615465649
"41x13",0.504646083710002,0.108245686988454,0.175472741409796,0.115555907726474,0,0,0.0960795801652737,0
"41x14",0.645438521065676,0.029108587628657,0.0999399798597267,0.0531270470721933,0.0969632591140808,0,0.0667214982559813,0.00870110700368518
"41x15",0.462703925747462,0.198789949837906,0.0249220002165939,0.137204897074221,0,0,0.176379227123817,0
"41x16",0.418270474963123,0.225503372943783,0.00597046113626088,0.0691063299157982,0.0331140992075021,0.0309428294816338,0.175250409923765,0.0418420224281345
"41x17",0.639064996466266,0.0835957545929343,0.0029620368688624,0.140988261185801,0,0.0389701064055347,0.0944188444806009,0
"41x18",0.724041791890041,0.0623605248187761,0,0.0568913471928789,0,0.0506173474089739,0.10608898868933,0
"41x19",0.764747605740519,0.0618734622361683,0,0.0113002314068968,0,0.0437455428579384,0.118333157758478,0
"41x20",0.779736159247909,0.0685060212600494,0,0.045822973654,0,0.0520115261178125,0.0539233197202294,0
"41x21",0.797486985161854,0.0461684016555252,0,0,0,0.0677735037035427,0.088571109479078,0
"41x22",0.84703526009277,0.0065008920479605,0,0.0240472657342931,0,0.0399053040444741,0.0825112780805024,0
"41x23",0.85502567305972,0,0,0.0471217115632706,0,0.0212163725032774,0.0766362428737316,0
"41x24",0.682963320709224,0.125235960252981,0,0.0318456609438575,0,0.0132314354562749,0.146723622637663,0
