	Macrophages	Mast	Monocytes	mDCs
8x9	0.14165545	0.26138905	0.27720466	0.31975088
8x10	0.13573717	0.25526989	0.31554008	0.29345292
8x11	0.15721086	0.2022689	0.2722092	0.36831108
8x12	0.18121183	0.25444907	0.266131	0.29820815
8x13	0.089138865	0.2701072	0.30206746	0.33868644
8x14	0.14498384	0.22663365	0.28947356	0.33890888
8x15	0.12351686	0.23779441	0.3018332	0.33685556
8x16	0.15715793	0.1802345	0.41544133	0.24716623
8x17	0.17772596	0.21228519	0.3132105	0.29677835
8x18	0.106651224	0.26415765	0.27625594	0.3529352
8x19	0.12439964	0.23662332	0.3489404	0.2900367
8x20	0.18014453	0.25419098	0.34009704	0.22556749
8x21	0.123269826	0.10430007	0.4405454	0.33188477
8x22	0.1776614	0.17534995	0.33528367	0.311705
8x23	0.039105035	0.22389446	0.27053577	0.4664648
8x24	0.10447879	0.24177179	0.33285406	0.32089534
8x25	0.13029811	0.2686854	0.47558832	0.12542818
8x26	0.22753297	0.12293487	0.5373349	0.11219728
8x27	0.12311508	0.12665616	0.31555453	0.4346742
8x28	0.12752813	0.14519536	0.38308284	0.3441937
8x29	0.42483774	6.6676534e-12	0.57516223	1.4230364e-11
8x30	0.10139754	0.23908931	0.34218106	0.3173321
8x31	0.2850494	0.08395156	0.5875523	0.043446675
8x32	0.07385524	3.532028e-12	0.5453099	0.38083482
8x33	0.17280428	5.1308693e-12	0.48990592	0.33728978
8x34	0.14138038	3.227651e-11	0.7491479	0.10947168
8x35	0.16063932	0.21681514	0.40404332	0.21850221
8x36	0.18874015	0.2157559	0.325847	0.269657
8x37	0.03266339	0.19982181	0.52062833	0.24688646
8x38	1.6289883e-11	0.30775368	0.5025661	0.18968028
8x39	0.12829238	0.1709045	0.47875506	0.22204801
8x40	0.24676634	0.27651876	0.39483452	0.08188036
8x41	0.12474666	2.8175763e-12	0.46090734	0.41434592
8x42	0.34559554	2.861082e-11	0.4775864	0.17681809
8x43	0.13941367	0.1948052	0.45606282	0.20971832
8x44	0.13332063	0.2370128	0.5383113	0.091355346
8x45	0.18328698	0.3387662	0.18986492	0.2880819
8x46	0.108460255	0.36649302	0.32459095	0.20045577
8x47	0.19461493	0.14979477	0.43360525	0.22198495
8x48	0.2917247	0.053054318	0.46028697	0.19493392
8x49	0.09801797	0.1759735	0.39799896	0.32800958
9x0	0.13686104	0.22887851	0.25851482	0.3757456
9x1	0.17753793	0.23244083	0.32452095	0.26550028
9x2	0.15207112	0.23803468	0.33039874	0.27949554
9x3	0.1446073	0.2860279	0.24971555	0.31964928
9x4	0.16964437	0.22709592	0.25769678	0.34556293
9x5	0.11434311	0.23430689	0.2792029	0.3721471
9x6	0.15244736	0.23221187	0.29123154	0.3241093
9x7	0.11330432	0.2780606	0.32420665	0.28442845
9x8	0.16941367	0.23575969	0.26046005	0.33436665
9x9	0.17075115	0.2327585	0.3036702	0.2928201
9x10	0.17787704	0.18807626	0.32924798	0.30479878
9x11	0.14884566	0.23212801	0.28189164	0.33713475
9x12	0.16590495	0.22714677	0.31986684	0.28708142
9x13	0.2455186	0.124848284	0.46154705	0.16808602
9x14	0.1254891	0.23350193	0.2543872	0.38662177
9x15	0.1302821	0.21814509	0.34426287	0.30730996
9x16	0.18089941	0.19935447	0.3506778	0.2690683
9x17	0.13311154	0.20323846	0.32313418	0.34051582
9x18	0.16886397	0.20428269	0.29467237	0.332181
9x19	0.1328713	0.22707208	0.28882003	0.35123664
9x20	0.21422547	0.21648015	0.37881374	0.19048059
9x21	0.17477898	0.25394925	0.33316907	0.23810264
9x22	0.11678503	0.23374164	0.34481463	0.30465865
9x23	0.101756334	0.120155014	0.37914392	0.3989447
9x24	0.13031358	0.0075886194	0.41308	0.4490178
9x25	0.15558751	0.1219165	0.5203223	0.20217365
9x26	0.16327974	0.13237499	0.35307086	0.3512744
9x27	0.15450726	0.19586954	0.41277656	0.23684664
9x28	0.13221678	0.14078754	0.72699565	4.991578e-11
9x29	0.2667431	0.21099627	0.39590448	0.12635614
9x30	0.12883201	0.22934216	0.39925388	0.24257194
9x31	0.1121834	3.2552695e-12	0.28449154	0.60332507
9x32	0.24937017	0.040007256	0.3778745	0.33274806
9x33	0.1355201	1.4250976e-11	0.18337645	0.6811034
9x34	0.27628192	2.6287102e-12	0.35642242	0.36729565
9x35	0.32514265	3.210211e-12	0.6748573	5.3143605e-12
9x36	0.18153901	0.13293754	0.40034348	0.28517997
9x37	0.16064695	0.22996488	0.33587614	0.27351207
9x38	0.089312874	0.1488014	0.76188576	6.9210067e-12
9x39	0.07422438	0.16153653	0.60466856	0.15957053
9x40	0.09231321	0.15898535	0.6723008	0.07640067
9x41	0.17928235	0.23893161	0.39972585	0.1820602
9x42	0.49040082	0.075237654	9.858183e-12	0.43436158
