	Macrophages	Mast	Monocytes	mDCs
7x18	0.294912	0.21087912	0.23061578	0.2635931
7x19	0.1617083	8.1015744e-13	1.4573875e-11	0.8382917
7x20	7.399386e-11	1.3746591e-11	5.01682e-10	1.0
7x21	6.262987e-10	0.51319146	0.02157619	0.4652324
7x22	0.24474353	0.44586495	0.09979519	0.2095963
7x23	0.19466974	0.25027794	0.029703123	0.5253492
7x24	0.108179465	9.438855e-13	0.26883757	0.6229829
7x25	0.055090833	0.21910457	4.3951055e-11	0.7258046
7x26	0.059286397	3.6892104e-13	0.13240129	0.8083123
7x27	0.008489621	5.630958e-13	0.008209358	0.98330104
7x28	0.19676147	5.654003e-13	0.27074847	0.5324901
7x29	0.27638316	4.2435402e-13	0.014191566	0.7094253
7x30	0.17086583	0.2946931	0.023010202	0.51143086
7x31	0.20688094	0.13109678	0.1559927	0.5060296
7x32	0.19031471	0.08039749	0.09170603	0.6375818
7x33	0.04845452	4.4558479e-13	0.092831194	0.85871434
7x34	0.014089308	0.15625979	0.17488801	0.65476286
7x35	0.20130213	0.15425348	0.17106579	0.4733786
7x36	0.13055816	7.6856826e-13	0.09205292	0.77738893
7x37	0.16964293	0.3267334	0.07399569	0.42962795
7x38	0.23972882	3.7922513e-13	0.070612065	0.6896592
7x39	0.43667418	0.10375158	0.012861315	0.44671294
7x40	0.36130294	1.0495197e-12	0.2409499	0.39774716
7x41	0.07485414	8.689204e-13	0.33720022	0.58794564
7x42	0.1125296	0.28821912	0.32899016	0.27026108
7x43	0.13692546	8.7765374e-13	0.13214314	0.7309314
7x44	0.04126577	0.16296165	0.09079724	0.7049754
7x45	0.0077296714	0.24508509	2.7271165e-12	0.7471853
7x46	0.2056253	4.7174585e-13	0.0017639092	0.7926109
7x47	0.08542434	0.16553383	0.022645107	0.7263968
7x48	0.6309778	8.794748e-13	0.01960275	0.34941944
7x49	0.1796607	1.0901088e-12	0.0015811353	0.8187582
8x0	3.6683513e-08	3.3877154e-09	1.0	7.8863405e-09
8x1	1.08850515e-11	3.2180137e-12	7.509872e-12	1.0
8x2	0.40208656	0.17020676	0.24810657	0.17960006
8x3	0.2574104	0.20108454	0.3048004	0.23670468
8x4	0.2832932	0.21286021	0.2577083	0.24613832
8x5	0.28795186	0.20247544	0.25774843	0.25182426
8x6	0.4127511	0.14121796	0.14995345	0.2960774
8x7	0.28828707	0.20441835	0.22745001	0.2798446
8x8	0.30416048	0.18582393	0.18952188	0.3204937
8x9	0.3317706	0.19773063	0.20729506	0.26320362
8x10	0.29321507	0.22189634	0.23923941	0.24564917
8x11	0.3582368	0.16525562	0.21500717	0.26150042
8x12	0.31171942	0.17114078	0.28984317	0.22729667
8x13	0.3039813	0.19432291	0.21449035	0.28720546
8x14	0.3264999	0.1763409	0.19336255	0.30379665
8x15	0.37562254	0.14559641	0.2934024	0.18537864
8x16	0.18757577	5.5863425e-13	0.18692684	0.62549734
8x17	0.3553788	0.1596879	0.3036083	0.18132496
8x18	0.46424395	0.017983463	0.4863193	0.031453304
8x19	5.978774e-12	9.511956e-13	0.06745347	0.93254656
8x20	0.10181229	0.89818776	2.1140116e-11	5.6744713e-12
8x21	0.20971201	6.856305e-13	0.025334384	0.7649536
8x22	0.18612848	0.42943662	0.02346358	0.3609713
8x23	4.3854625e-11	6.1616803e-13	2.4587723e-12	1.0
8x24	0.72889507	1.8336667e-12	0.27110496	1.24844605e-11
8x25	0.33181578	0.32776573	0.054539032	0.2858794
8x26	0.12364243	0.2764184	0.17109026	0.42884892
8x27	0.35698327	5.7902137e-13	1.4630923e-11	0.64301676
8x28	0.21677452	0.28836402	0.15316322	0.3416982
8x29	0.41454598	6.1132853e-13	0.031894915	0.5535591
8x30	0.074024364	4.652442e-13	0.003949656	0.922026
8x31	0.32249546	0.25315967	0.19062376	0.23372112
8x32	0.08403887	2.9731843e-13	0.08210367	0.8338575
8x33	0.22429176	4.7972254e-13	0.008935357	0.76677287
8x34	0.22993164	3.9012532e-13	0.054134987	0.71593344
8x35	0.20472826	0.22251016	0.19393975	0.3788218
8x36	0.26731363	4.7065276e-13	0.26076463	0.47192174
8x37	0.13506994	0.14025639	0.026508478	0.6981651
8x38	0.06935049	0.26494756	0.043372203	0.6223297
8x39	0.08686124	0.20807895	0.29072547	0.4143343
8x40	0.26729688	0.385564	0.023998553	0.3231406
8x41	0.26328424	8.5261876e-13	4.5764334e-12	0.7367158
8x42	0.24605894	5.7807275e-13	0.033503838	0.7204372
8x43	0.37392062	0.14929937	0.01639037	0.4603896
8x44	0.216043	0.2850658	0.06547285	0.43341836
8x45	0.19776443	0.13644814	0.025949737	0.6398377
8x46	0.16705263	0.15978192	0.04415522	0.62901026
8x47	0.21762623	0.35424387	0.099643685	0.3284862
8x48	0.5327251	7.892903e-13	0.20640512	0.26086977
8x49	0.06729151	0.18548311	0.041495055	0.70573026
9x0	2.1645522e-11	5.4395538e-12	1.8349692e-11	1.0
9x1	0.40185773	0.13510293	0.22199889	0.24104047
9x2	0.25295365	0.1906505	0.29893243	0.25746349
