	Cancer	Ductal	Macrophages	Mast	Monocytes	mDCs
6x0	0.8502158	1.5001863e-11	1.5497215e-11	1.265606e-11	0.14978418	4.771956e-12
6x1	0.5945119	1.2733109e-11	4.573775e-10	0.04120053	0.023957888	0.34032965
6x2	1.0	4.3946305e-12	2.7616483e-12	4.329123e-12	2.9919316e-12	2.4197903e-12
6x3	1.0	1.0962265e-11	4.988056e-12	7.4863735e-12	2.8148e-12	3.1123914e-12
6x4	1.0	7.373693e-12	2.3528035e-12	6.301787e-12	1.7866576e-12	2.669658e-12
6x5	1.0	6.4088995e-12	3.039726e-12	4.865693e-12	2.1275054e-12	2.4485895e-12
6x6	0.61848307	0.04012333	0.24373993	6.044975e-11	0.09765361	4.2803664e-12
6x7	0.26442346	0.120465614	0.049422663	0.24129158	0.03820003	0.28619665
6x8	1.0	4.1203256e-12	5.2319486e-12	4.8037347e-12	2.3938989e-12	3.2281521e-12
6x9	1.0	5.7277347e-12	4.05849e-12	3.934704e-12	1.8154913e-12	2.7284598e-12
6x10	1.0	8.887357e-12	3.5594563e-12	7.351692e-12	2.3542058e-12	2.8563911e-12
6x11	1.0	1.5180425e-11	2.8554802e-12	3.7024125e-12	2.821567e-12	2.029645e-12
