"","Cancer","Ductal","Macrophages","Mast","mDCs","Monocytes","pDCs","T"
"17x22",0.319529234376407,0.107553469714208,0.125042293926971,0.118301610031643,0.126341953170399,0.0901928891175742,0.0193348165275749,0.000914828539787077
"17x23",0.000142486189817164,0.000142486189817164,0.346978129989466,0.301910331721707,0.310939222993534,0.000142486189817164,0.000142486189817165,0.000142486188888578
"17x24",0.000142486189817164,0.000142486189817164,0.0643938476398346,0.451689450842964,0.385506626321742,0.074175387339013,0.000142486189817165,0.000142486189980099
"17x25",9.97403328720144e-05,0.00137606655888845,0.240891077845556,9.97403313620306e-05,0.671649047361332,0.05210334559422,9.97403328720149e-05,9.97403330091631e-05
"17x26",0.000203551699738807,0.000203551699738806,0.262092237381581,0.164674698684332,0.437475546946578,0.0452281892821484,0.0217223886480056,0.0057582634904528
"17x27",0.000142486189817164,0.000142486189817152,0.100876793070303,0.181203978893203,0.560442080614413,0.0935017283136315,0.00452966141751752,0.00552009664082141
"17x28",0.000203551699738806,0.000487852250752622,0.374506319446583,0.296780385805229,0.205508151126914,0.0793596107935864,0.00278403715505493,0.000203551699738806
"17x29",0.00199047319486933,0.000142486189817186,0.417619740819715,0.179245251854712,0.345158479478954,0.0214633172582003,0.000142486189817165,0.000142486190012632
"17x30",9.9740332872015e-05,0.00137672159293149,0.269926513396611,9.97403313722556e-05,0.620728634053295,0.0506111808029197,0.000849300862944123,9.97403328720163e-05
"17x31",0.000142486189817169,0.000142486189817165,0.149503608922371,0.128613458289056,0.591156026278007,0.11560007262825,0.000142486189817164,0.000142486188888653
"17x32",0.000203551699738808,0.0018285649496215,0.549677050472323,0.144767750216082,0.179275413812334,0.0386948597620952,0.000203551699738807,0.00270975910091623
"17x33",9.9740332872016e-05,9.9740332872016e-05,0.657432999581573,9.97403405659978e-05,0.278785724988435,0.0368606665568489,0.000105803840103499,9.97403315342017e-05
"17x34",0.000142486189817164,0.000142486189817164,0.471355187880421,0.342716504192426,0.0787299353031637,0.0415725650026282,0.000142486189817164,0.000142486188888651
"17x35",0.00169769552349576,0.000738848684958464,0.551157843298571,9.9740331000423e-05,0.319716308767908,0.0562206599374062,9.97403328720149e-05,9.97403328718334e-05
"17x36",0.000142486189817164,0.000142486189817164,0.495266888378781,0.0946419265824918,0.338163139553683,0.000142486189817164,0.00665575179171685,0.000142486189980045
"17x37",9.97403328720155e-05,0.00182857157717237,0.508641759779457,9.97403353633768e-05,0.424107860011288,0.0185983389519957,9.97403328720147e-05,9.9740332872016e-05
"17x38",0.207305965747465,0.0733613146686048,0.0852665863459979,0.0781944684713502,0.385590466919038,0.110213968753901,0.00178039248298708,0.000290788142484009
"17x39",0.25415004917226,0.000290788142484003,0.108388312743627,0.135295794634136,0.362523413353297,0.055779904186381,0.0293116940794665,0.000290788142484008
"17x40",0.156227589317055,0.0975051692492289,0.154049650374078,0.188811647362576,0.325372274110645,0.0402343345403341,0.000290788142484009,0.000290788142484009
"17x41",0.125322993467501,0.233661324495407,0.24808079619575,0.000203551708241941,0.215172901285613,0.0943291411232175,0.000203551699738806,0.000203551699738804
"17x42",0.203788099610353,0.125455735906362,0.125653251941168,0.195697210495447,0.228817468549798,0.0164962851897596,0.014109703652576,0.000415411632120013
"17x43",0.0654081797280226,0.308190535291925,0.147675603754092,0.127123528846897,0.268523941673881,0.0128471605267707,0.0203425985207633,0.000290788142484012
"17x44",0.314705710002935,0.0917145457395849,0.19927389016563,0.10447164829403,0.161542936116647,0.0579404897818536,0.000290788142484009,0.000290788142484012
"17x45",0.372888720077248,0.222025290801313,0.000203551699738806,0.174978321764662,0.0440412127438948,0.130642233267908,0.00196780324426397,0.000203551699738804
"17x46",0.169454817571783,0.137749812999704,0.133578250391495,0.208491229409203,0.197485211067064,0.123270343436133,0.000415411632120011,0.000415411632120012
"17x47",0.353654039809908,0.128615316138145,0.221594942890766,0.000203551703918169,0.240519011920212,0.000203551699738806,0.00975483124913273,0.000203551699738805
"17x48",0.307054425854426,0.255238718690836,0.16429690318762,0.108329693327282,0.140705946128675,0.000203551699738809,0.000203551699738806,0.000203551699738806
"17x49",0.399150828917795,0.255692332177255,0.166156322351922,0.000142486182149723,0.0424787659323658,0.082577356621388,0.000142486189817164,0.000142486189817164
"18x0",0.66924473903265,0.153472824856018,0.0476867005797142,9.97403329516142e-05,9.97403328720149e-05,0.0824393949812416,0.00790042967144349,0.00160135381919505
"18x1",0.7133282516515,9.97403328720156e-05,0.119173089832646,9.97403337554466e-05,0.0969039302464834,9.97403328720149e-05,9.97403328720148e-05,9.9740332872015e-05
"18x2",0.666965811356346,0.0153309547639177,9.97403328720152e-05,9.9740340126819e-05,0.248931617482571,9.97403328720155e-05,0.0118852611326915,9.97403328720229e-05
"18x3",0.838185876259029,0.0370928995155017,9.97403328720151e-05,9.97403354133495e-05,9.97403328716557e-05,0.0797736500256744,0.00847208966462438,9.97403328720149e-05
"18x4",0.946250481643064,7.72490639670519e-05,6.98182330103981e-05,6.98182348973016e-05,6.98182330387691e-05,6.98182330083455e-05,0.00386392646763848,6.9818232938904e-05
"18x5",0.898218060755525,0.0476864896370197,6.98182330104107e-05,6.98182335926218e-05,6.98182329573082e-05,6.98182330176587e-05,0.00294831881101668,6.98182325436671e-05
"18x6",0.927346704864735,7.75029046323935e-05,6.98182330104105e-05,6.98182329150596e-05,0.00279148256844713,6.98182330108528e-05,0.0056229849803941,6.98182323974601e-05
"18x7",0.968412519419447,7.39111919730425e-05,6.98182330104123e-05,6.98182310110397e-05,6.98182330250151e-05,6.98182329948987e-05,6.98182330104318e-05,6.98182330104117e-05
